,Average +/-,Average points,Average second chance points,Average possessions,Average defensive rebounds,Average offensive rebounds,Total rebounds,Average total rebounds,Steals,Average steals,3 Points made,Average 3 points made,3 Point percentage,Turnovers,Average turnovers,Turnover percentage,2 Points attempted,Average 2 points attempted,2 Points made,Average 2 points made,Minutes,Average minutes,Assists,Average assists,Assist percentage,Blocks,Average blocks,Blocks received,Average blocks received,Efficiency,Field goals attempted,Average field goals attempted,DFPG,OFPG,OF,PFPG,TF,TFPG,Tot Fouls,Tot Fouls PG,Uns. Foul PG,FTA,FTAPG,FTMPG
John Angok Akec Madut,15.4,18.3,3.9,0,8.1,3.1,79,11.3,19,2.7,5,0.7,16.1,20,2.9,11.5,113,16.1,49,7,214:54,30.7,24,3.4,0,7,1,4,0.6,140,144,20.6,0,0,0,2.4,1,0.1,18,2.6,0,22,3.1,2.1
Charles Starling Alexander,-2.6,12,1.7,0,7.1,2.1,65,9.3,14,2,1,0.1,4.8,8,1.1,6.6,78,11.1,29,4.1,173:58,24.9,11,1.6,0,5,0.7,4,0.6,93,99,14.1,0,0.1,1,1.1,0,0,10,1.4,0.1,32,4.6,3.3
Moe Anthony,-1.4,15.3,2.8,0,10.5,1.9,149,12.4,23,1.9,23,1.9,31.1,33,2.8,16.1,82,6.8,45,3.8,338:59,28.3,26,2.2,0,14,1.2,5,0.4,264,156,13,0,0.4,5,2.7,1,0.1,38,3.2,0,36,3,2.1
Braelen Bridges Marquis,-17.5,7.8,2,0,3.3,2.8,24,6,1,0.3,1,0.3,33.3,9,2.3,20.9,24,6,10,2.5,80:44,20.2,4,1,0,1,0.3,1,0.3,28,27,6.8,0,0,0,0.5,0,0,2,0.5,0,16,4,2
Aaron Romare Burt,0,8.1,1.3,0,2.9,0.9,26,3.7,4,0.6,4,0.6,26.7,13,1.9,14.5,44,6.3,11,1.6,98:15,14,10,1.4,0,2,0.3,4,0.6,25,59,8.4,0,0,0,1.6,1,0.1,12,1.7,0,40,5.7,3.3
Yew Thung Chan,-3.7,7.1,0.7,0,1.6,0.8,26,2.4,13,1.2,10,0.9,34.5,26,2.4,23.9,44,4,17,1.6,221:23,20.1,17,1.6,0,4,0.4,2,0.2,58,73,6.6,0,0,0,1.8,0,0,20,1.8,0,22,2,1.3
Zi Fueng Chang,2.7,2.2,0,0,0.7,0.3,13,1,2,0.2,9,0.7,31,5,0.4,13.9,2,0.2,1,0.1,86:58,6.7,8,0.6,0,1,0.1,0,0,27,31,2.4,0,0,0,0.4,0,0,5,0.4,0,0,0,0
Zi Hong Cheah,-15,3.7,0,0,2.3,0,7,2.3,1,0.3,2,0.7,18.2,8,2.7,28.7,8,2.7,2,0.7,38:43,12.9,2,0.7,0,0,0,1,0.3,-3,19,6.3,0,0,0,0.7,0,0,2,0.7,0,2,0.7,0.3
Li Wei Chee,2.7,1.8,0.6,0,2,0.9,35,2.9,2,0.2,0,0,0,6,0.5,19.1,19,1.6,8,0.7,154:27,12.9,9,0.8,0,6,0.5,3,0.3,51,21,1.8,0,0,0,2,0,0,24,2,0,10,0.8,0.5
Tze Zam Chew,5.3,1.7,0.7,0,1.7,0.3,6,2,1,0.3,0,0,0,3,1,45.2,1,0.3,1,0.3,15:16,5.1,1,0.3,0,0,0,0,0,7,1,0.3,0,0,0,0.3,0,0,1,0.3,0,6,2,1
"Jia Yu, Ivan Chia",4,3,0,0,0,0,0,0,0,0,1,1,100,0,0,0,0,0,0,0,4:46,4.8,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Jin Yen Chin,-3.1,5.3,2.1,0,2.6,3.6,99,6.2,16,1,0,0,0,12,0.8,10,100,6.3,38,2.4,353:52,22.1,15,0.9,0,5,0.3,13,0.8,135,100,6.3,0,0.1,2,3.3,0,0,55,3.4,0,18,1.1,0.5
Anigwe Christian,0.8,18.7,2.4,0,7.8,3,108,10.8,6,0.6,5,0.5,19.2,29,2.9,14.9,114,11.4,65,6.5,309:43,31,22,2.2,0,13,1.3,6,0.6,220,140,14,0,0,0,1.5,0,0,16,1.6,0.1,59,5.9,4.2
Xin Zhi Chua,-5.7,1.3,1.3,0,1.7,1.7,10,3.3,0,0,0,0,0,4,1.3,44.4,5,1.7,2,0.7,36:23,12.1,1,0.3,0,0,0,0,0,8,5,1.7,0,0,0,1.7,0,0,5,1.7,0,0,0,0
Wee Yiang De,3.1,6.1,0.8,0,1.5,0.6,30,2.1,17,1.2,6,0.4,28.6,14,1,14.6,57,4.1,31,2.2,233:56,16.7,20,1.4,0,5,0.4,5,0.4,98,78,5.6,0,0,0,0.9,0,0,13,0.9,0.1,9,0.6,0.4
Jun Xian Foo,-2.4,1.1,0,0,0.3,0.1,3,0.4,3,0.4,2,0.3,13.3,0,0,0,8,1,0,0,51:51,6.5,2,0.3,0,0,0,2,0.3,-4,23,2.9,0,0,0,0.4,0,0,3,0.4,0,3,0.4,0.4
Teck Hwa Gan,-1.3,1.7,0,0,0.1,0.1,2,0.2,1,0.1,5,0.6,55.6,5,0.6,31.3,2,0.2,0,0,58:49,6.5,2,0.2,0,0,0,0,0,9,11,1.2,0,0,0,1.1,0,0,10,1.1,0,0,0,0
"Chong Kee, Damian Ghai",0.6,0.4,0,0,1,0.8,9,1.8,1,0.2,0,0,0,2,0.4,28.6,3,0.6,1,0.2,19:14,3.9,3,0.6,0,0,0,1,0.2,9,5,1,0,0,0,0,0,0,0,0,0,0,0,0
