Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Brazil,BRA,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.3410903622098
Brazil,BRA,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.3410663137971
Brazil,BRA,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.2549706035075
Brazil,BRA,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.1687313206048
Brazil,BRA,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.0824920377022
Brazil,BRA,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.9962527547995
Brazil,BRA,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.9100134718969
Brazil,BRA,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.8237741889942
Brazil,BRA,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.7375349060916
Brazil,BRA,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.6512956231889
Brazil,BRA,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.5650563402862
Brazil,BRA,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.4788170573836
Brazil,BRA,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.3925777744809
Brazil,BRA,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.3795365954626
Brazil,BRA,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.3671295288186
Brazil,BRA,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.3547224621746
Brazil,BRA,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.3423153955306
Brazil,BRA,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.3299083288866
Brazil,BRA,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.3175012622426
Brazil,BRA,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.3050941955985
Brazil,BRA,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.2926871289545
Brazil,BRA,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.2802800623105
Brazil,BRA,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.2678729956665
Brazil,BRA,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.2554659290225
Brazil,BRA,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.4248576836473
Brazil,BRA,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.594728013649
Brazil,BRA,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.7645983436506
Brazil,BRA,1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.9344686736523
Brazil,BRA,1990,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.1043390036539
Brazil,BRA,1989,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.2742093336556
Brazil,BRA,1988,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.4440796636572
Brazil,BRA,1987,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.6139499936589
Brazil,BRA,1986,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.7838203236605
Brazil,BRA,1985,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.9536555980158
Brazil,BRA,1984,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.7269894976634
Brazil,BRA,1983,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.5000490539761
Brazil,BRA,1982,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.2731086102889
Brazil,BRA,1981,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.0461681666017
Brazil,BRA,1980,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.819252608834
Brazil,BRA,1979,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.2241192418409
Brazil,BRA,1978,Agricultural land (% of land area),AG.LND.AGRI.ZS,26.6353518845102
